id,Name,Age,Gender,Qualification_type,Job_Type,Race,GPA,Interviewed
1920,Nickey Jinkinson,47,M,4,Support,Latino,2,TRUE
1921,Garrik Etuck,60,M,1,Sales,Other,2.3,TRUE
1922,Decca Godson,54,M,5,Legal,Black,0,TRUE
1923,Sol Durran,36,M,1,Product Management,White,1.3,FALSE
1924,Angel Goodrum,47,M,5,Training,White,0,TRUE
1925,Wye While,55,M,4,Engineering,Latino,1.7,TRUE
1926,Margarette Villaret,60,F,1,Human Resources,Latino,3.7,FALSE
1927,Ronny Dable,29,F,4,Engineering,White,3,FALSE
1928,Kincaid Persich,47,M,5,Sales,Asian,3.7,FALSE
1929,Wesley Dawby,33,M,3,Legal,Latino,3,FALSE
1930,Corbie Flemyng,27,M,1,Services,Other,3,FALSE
1931,Rica Goldthorpe,31,F,5,Engineering,Other,1.7,FALSE
1932,Jude Cake,41,M,2,Support,White,1.7,TRUE
1933,Claudian Fewster,58,M,3,Legal,Black,1,TRUE
1934,Nathanael Gabbat,42,M,4,Accounting,Black,3.7,TRUE
1935,Antonio Gregoratti,24,M,5,Services,Asian,1.3,TRUE
1936,Lotta Cholomin,55,F,5,Engineering,Latino,1.3,FALSE
1937,Reamonn Issit,39,M,5,Services,Latino,3.7,FALSE
1938,Lavinie Torald,27,F,5,Research and Development,Latino,1.3,TRUE
1939,Tannie Boseley,59,M,1,Marketing,Latino,2.7,TRUE
1940,Stephine Cufley,40,F,3,Legal,Latino,3.3,FALSE
1941,Boy Luter,37,M,3,Legal,Other,0,FALSE
1942,Carlie Cratchley,36,F,5,Engineering,Black,2.3,FALSE
1943,Andi Attwater,42,F,3,Training,Latino,1.7,FALSE
1944,Dale Hubert,57,F,1,Marketing,Asian,2.7,TRUE
1945,Cherianne Smale,55,F,2,Sales,Latino,4,FALSE
1946,Katuscha Adlam,31,F,3,Human Resources,Asian,4,FALSE
1947,Jaimie Chance,55,M,3,Engineering,Asian,0.7,FALSE
1948,Rahel Sherrott,45,F,3,Accounting,Latino,1,FALSE
1949,Dacia Coopland,57,F,5,Research and Development,Latino,3.7,FALSE
1950,Elga Markson,22,F,4,Training,Black,3,TRUE
1951,Vernor Lente,57,M,1,Business Development,Latino,2.3,FALSE
1952,Carmine O'Hartigan,56,M,3,Accounting,Asian,1.7,TRUE
1953,Dewitt de Tocqueville,36,M,5,Marketing,White,2,TRUE
1954,Cad Wheadon,57,M,4,Legal,Other,0.7,TRUE
1955,Shaw Alyutin,30,M,5,Legal,Other,3.3,FALSE
1956,Paulina Ivashev,32,F,1,Accounting,Black,2.7,TRUE
1957,Fairleigh Slarke,31,M,3,Legal,Latino,2.3,FALSE
1958,Alis Haycock,36,F,5,Sales,White,3,TRUE
1959,Devin Huniwall,43,M,2,Human Resources,Asian,3.7,TRUE
1960,Cassius Cresser,41,,1,Business Development,White,1,FALSE
1961,Colman MacCulloch,59,M,4,Services,Other,3.3,TRUE
1962,Marline Haizelden,34,F,1,Engineering,Black,1.7,TRUE
1963,Reg Bullick,36,M,4,Product Management,White,1,FALSE
1964,Jolyn Tweedie,30,F,4,Business Development,Black,3,TRUE
1965,Ruperto Sherland,37,M,2,Engineering,Black,3.7,FALSE
1966,Jennine Beckles,30,,2,Product Management,Asian,2,FALSE
1967,Genni Lawly,25,F,1,Marketing,Black,1,FALSE
1968,Isabella Tailby,43,F,4,Support,Latino,2.7,TRUE
1969,Denise Khotler,37,F,4,Human Resources,White,3.3,TRUE
1970,Anya LLelweln,36,,5,Legal,Black,2,FALSE
1971,Lizabeth Lightbown,55,F,3,Human Resources,Black,3,TRUE
1972,Currie Boston,59,M,3,Accounting,Other,1.7,FALSE
1973,Elset Harback,25,,1,Business Development,Black,0.7,TRUE
1974,Dale Leadstone,42,M,2,Engineering,Asian,2,TRUE
1975,Fredric Vasilenko,29,M,1,Accounting,White,1.3,FALSE
1976,Bethanne Koschke,51,F,1,Sales,White,2.3,FALSE
1977,Katey Bloggett,50,F,1,Engineering,Black,3,TRUE
1978,Penrod Hardistry,56,M,3,Support,Other,0.7,TRUE
1979,Perl Hallt,35,F,2,Human Resources,Latino,3,TRUE
1980,Cam Di Pietro,39,M,3,Sales,Other,3.3,FALSE
1981,Trueman Mantz,27,M,1,Research and Development,Black,2.7,FALSE
1982,Gerrie Maginot,58,F,2,Sales,Asian,3,FALSE
1983,Dalli Harbach,49,M,4,Product Management,White,2,TRUE
1984,Renaldo Hambleton,42,M,4,Accounting,Asian,3.7,FALSE
1985,Erin Hullock,52,F,2,Sales,Black,2,FALSE
1986,Austin O'Currane,53,F,1,Support,Latino,3.7,FALSE
1987,Cornall Harder,46,M,3,Human Resources,Other,3,FALSE
1988,Bucky Chittey,33,M,5,Human Resources,Asian,1,TRUE
1989,Jaymie Bridgwood,45,M,5,Support,Asian,3.7,TRUE
1990,Vaughan Filipic,50,M,5,Product Management,Latino,3,TRUE
1991,Rea Ogilvie,58,F,3,Research and Development,Black,1,TRUE
1992,Anselm Gerg,33,M,1,Human Resources,Asian,2.3,FALSE
1993,Verene Lerigo,29,F,5,Product Management,Black,2,FALSE
1994,Annamaria Mapletoft,36,F,1,Sales,Asian,3.3,TRUE
1995,Robinet Groger,60,M,3,Human Resources,Asian,4,TRUE
1996,Federico Crathorne,21,X,5,Accounting,Latino,0.7,FALSE
1997,Patience Clash,36,F,4,Services,White,2.3,TRUE
1998,Pippo Gooble,37,,2,Product Management,Black,1.3,FALSE
1999,Sig Andreasen,56,,1,Engineering,Asian,3.7,FALSE
2000,Ravi Maseyk,39,M,3,Business Development,White,2.7,TRUE
2001,Othello Buck,56,M,1,Accounting,Asian,0.7,TRUE
2002,Jeane Shellshear,40,F,4,Accounting,Other,1.3,TRUE
2003,Colman Quickfall,31,M,3,Product Management,Asian,2.3,FALSE
2004,Lorenza Decreuze,35,F,3,Research and Development,Black,1.3,FALSE
2005,Joeann Garforth,41,F,5,Sales,White,1.7,FALSE
2006,Jobina Langhorne,24,F,5,Support,Latino,1,FALSE
2007,Emmott Yoslowitz,60,,5,Engineering,Latino,1,TRUE
2008,Cary Meach,52,M,4,Product Management,Black,1.3,TRUE
2009,Winston Rylands,60,M,5,Support,Other,0,FALSE
2010,Amber Roston,60,F,2,Legal,Other,3,TRUE
2011,Lockwood Brunt,49,M,1,Research and Development,White,2.7,FALSE
2012,Udall Jesse,31,M,4,Legal,Other,3,FALSE
2013,Tybie Spick,41,F,2,Business Development,White,1.7,FALSE
2014,Alfons Clipson,51,M,3,Engineering,Asian,4,TRUE
2015,Gabie Dimelow,25,F,2,Accounting,Other,3.7,TRUE
2016,Wittie Margetts,37,M,2,Human Resources,Black,3.7,TRUE
2017,Bee Kapiloff,50,F,5,Sales,Black,2.7,TRUE
2018,Willie Di Gregorio,52,F,1,Training,Black,0.7,TRUE
2019,Jimmie Witten,21,M,5,Research and Development,Latino,2.7,TRUE
2020,Tucker Sinderson,40,M,4,Human Resources,Asian,4,FALSE
2021,Sylas Kinsley,32,M,2,Support,Other,1.7,FALSE
2022,Sergei Shiels,51,M,4,Accounting,Asian,2.3,TRUE
2023,Trent Foat,47,M,5,Services,White,1,FALSE
2024,Marcella Robbel,42,F,1,Marketing,Latino,1,TRUE
2025,Emylee Worviell,22,F,4,Marketing,White,2.7,TRUE
2026,Clint Gillebride,38,M,5,Business Development,White,4,FALSE
2027,Derby Reinbeck,53,M,1,Support,Latino,3,TRUE
2028,Kele Schoenfisch,33,M,2,Business Development,Black,2.7,TRUE
2029,Gasparo Khosa,60,M,2,Support,Latino,0,TRUE
2030,Ludwig Saterweyte,58,M,3,Product Management,Asian,4,TRUE
2031,Sianna Wharrier,36,F,2,Legal,Black,2,FALSE
2032,Kristyn Fishpool,25,F,2,Support,Asian,3.3,TRUE
2033,Valentin Dollar,53,M,4,Marketing,White,0.7,TRUE
2034,Jeramey Kensy,47,M,5,Engineering,Black,2.7,TRUE
2035,Benedetto Gainfort,53,M,3,Sales,White,4,FALSE
2036,Osmund MacAne,28,M,2,Human Resources,Other,1.3,FALSE
2037,Selene Astling,54,F,1,Business Development,White,1.3,FALSE
2038,Kayley Collinette,24,F,5,Accounting,Black,4,FALSE
2039,Layne Turner,60,F,5,Sales,Asian,3,TRUE
2040,Townie Farnie,58,M,5,Services,Other,0,FALSE
2041,Domingo Wordesworth,45,M,5,Research and Development,Black,0.7,FALSE
2042,Sigrid Cornier,45,F,2,Marketing,White,1.7,TRUE
2043,Daphne Beasleigh,37,F,3,Accounting,Other,2.7,TRUE
2044,Jeffry Pollastrino,32,M,3,Product Management,Black,0.7,TRUE
2045,Marcie Aspy,49,F,5,Engineering,Black,1.3,TRUE
2046,Liza Gaishson,57,F,2,Product Management,White,2,FALSE
2047,Lindie Stoltz,57,F,5,Accounting,White,1,FALSE
2048,Tate Lawley,29,M,3,Services,Other,0.7,TRUE
2049,Francene Queen,25,F,3,Engineering,Asian,1,TRUE
2050,Randie Gemson,21,F,5,Training,Other,0.7,TRUE
2051,Patrizius Pietrowski,37,M,4,Engineering,Latino,2.7,TRUE
2052,Kimberli Spraggs,43,F,5,Services,Black,0.7,FALSE
2053,Evyn Izkoveski,57,M,1,Accounting,Black,4,FALSE
2054,Dew Bocking,21,M,4,Sales,White,3,TRUE
2055,Verne Boeter,49,M,1,Training,Other,0.7,TRUE
2056,Michaella Longhurst,46,F,4,Services,White,3.3,TRUE
2057,Harbert Pendrigh,41,M,4,Training,Black,2,TRUE
2058,Way Joburn,59,M,5,Services,White,3,FALSE
2059,Tillie Millington,49,F,1,Product Management,Latino,3.3,FALSE
2060,Sissy Gibben,26,F,5,Accounting,Black,4,TRUE
2061,Dorothee Stoite,50,F,1,Product Management,Latino,2.3,TRUE
2062,Victoir Peto,58,M,2,Research and Development,White,3.7,TRUE
2063,Antin Petrol,29,M,2,Engineering,Other,3,FALSE
2064,Ad Matterdace,25,M,3,Accounting,Black,2,TRUE
2065,Milo Zaczek,48,M,5,Training,Other,3,FALSE
2066,Marlo Boustead,45,M,3,Services,Asian,4,FALSE
2067,Bevin Glanders,30,M,1,Sales,Asian,2,FALSE
2068,Dania Gillott,32,F,5,Research and Development,Black,1.7,FALSE
2069,Westleigh Packman,58,M,5,Support,Latino,1,FALSE
2070,Sorcha Dadds,46,F,3,Accounting,Latino,0.7,TRUE
2071,Ellwood Escalero,40,M,1,Support,Latino,4,TRUE
2072,Natala Cockney,35,F,2,Marketing,White,3,TRUE
2073,Stefania Penylton,37,F,5,Human Resources,Black,2,FALSE
2074,Elisabeth Swaile,23,F,4,Research and Development,Asian,4,FALSE
2075,Laura Simka,59,F,4,Sales,Latino,3.3,FALSE
2076,Joshia Curless,23,M,5,Legal,Latino,4,FALSE
2077,Grantley Binnell,31,M,2,Support,Black,1.3,TRUE
2078,Cherey Greguol,26,F,2,Engineering,Black,4,FALSE
2079,Maybelle Havercroft,52,F,5,Product Management,Latino,2.3,TRUE
2080,Avery Morcom,35,M,2,Training,Black,2.3,TRUE
2081,Wilie Brotherheed,40,F,4,Product Management,White,2,FALSE
2082,Corrine Antic,34,F,5,Services,Black,1.3,TRUE
2083,Jojo Littrik,23,F,3,Legal,White,3.3,TRUE
2084,Nikolaus Kirimaa,55,M,4,Support,Asian,1.3,FALSE
2085,Chicky Jammes,31,F,2,Research and Development,Other,1,TRUE
2086,Engelbert D'Alessandro,31,M,1,Accounting,White,2.3,FALSE
2087,Jamesy Dawkins,44,M,3,Research and Development,Black,3.7,TRUE
2088,Elisabeth Rengger,53,F,2,Sales,Other,4,FALSE
2089,Brook Salvadori,37,M,5,Research and Development,White,3,TRUE
2090,Pierette Batha,34,F,5,Legal,Asian,2.7,FALSE
2091,Mathilda Igoe,21,F,1,Product Management,Other,1.3,FALSE
2092,Izak Thys,47,M,2,Business Development,Latino,1.3,FALSE
2093,Casar Keepin,23,M,2,Services,White,2,FALSE
2094,Christina Sexten,38,F,2,Engineering,Latino,2,FALSE
2095,Foster Kay,23,M,5,Engineering,White,1,FALSE
2096,Flory Minget,44,M,4,Legal,Asian,2.3,FALSE
2097,Jere Frankis,43,F,4,Training,Other,2.3,FALSE
2098,Tana Treweke,40,F,4,Accounting,Asian,3,TRUE
2099,Randy Danaher,34,M,3,Legal,Other,0,TRUE
2100,Dorelia Sarle,56,F,2,Engineering,White,4,FALSE
2101,Kalindi Keniwell,32,F,4,Product Management,Asian,3,FALSE
2102,Janot Fawbert,34,F,1,Training,Other,2,TRUE
2103,Bekki Cannaway,55,F,3,Human Resources,White,3,FALSE
2104,Faustine Teresa,26,F,4,Marketing,Latino,4,TRUE
2105,Geno Danielsohn,49,M,3,Engineering,Latino,0,TRUE
2106,Reynolds Woollacott,27,M,3,Accounting,Other,1,FALSE
2107,Kassandra Filoniere,26,F,1,Marketing,Asian,3.7,FALSE
2108,Laird Pargent,22,M,3,Training,Latino,1.3,TRUE
2109,Gunar Trinke,50,M,3,Engineering,White,1.7,TRUE
2110,Lorette Gould,27,F,5,Legal,Other,3.3,FALSE
2111,Manolo MacSwayde,56,M,5,Business Development,Asian,2.7,FALSE
2112,Tades Kabos,51,M,4,Human Resources,Other,2,FALSE
2113,Hamlin Snead,26,M,1,Accounting,Asian,1,FALSE
2114,Harriet Sandercock,42,F,2,Support,Latino,0,TRUE
2115,Gregoire Tawton,40,M,1,Business Development,Latino,0,FALSE
2116,Vita Syde,52,F,5,Research and Development,Asian,2,FALSE
2117,Chiquia Pacht,34,F,5,Support,Black,4,FALSE
2118,Reeba Proud,22,F,5,Business Development,Asian,3.3,TRUE
2119,Junie Dolden,21,F,5,Services,Black,3,TRUE
2120,Devonna Hugnet,40,F,1,Engineering,Asian,1.3,FALSE
2121,Wright Winterton,29,M,1,Human Resources,Asian,3.3,FALSE
2122,Asa Kirtlan,24,M,5,Business Development,Other,2.7,FALSE
2123,Wallis Luckcock,52,M,5,Training,Black,0,FALSE
2124,Thomasina Hathaway,60,F,3,Research and Development,Latino,3.3,TRUE
2125,Selia Yerill,42,F,3,Product Management,Black,1,TRUE
2126,Raine Poulglais,30,F,2,Sales,Black,3.3,TRUE
2127,Flora Pepineaux,45,F,2,Marketing,Latino,4,FALSE
2128,Ingrid Beazer,58,F,5,Sales,Other,3,TRUE
2129,Arda Klimkov,48,F,1,Sales,Asian,4,TRUE
2130,Avrit Vigours,51,F,2,Services,Black,0.7,FALSE
2131,Benedikt Petri,32,M,2,Research and Development,White,3.3,FALSE
2132,Kally Mattioli,39,F,5,Research and Development,Latino,2,FALSE
2133,Gaston Needs,43,M,5,Product Management,White,0.7,TRUE
2134,Rabbi Firk,37,M,3,Accounting,Asian,3,TRUE
2135,Mitchael Ziebart,45,M,5,Product Management,Latino,1.7,FALSE
2136,Darcy Hallwood,57,F,3,Research and Development,Asian,2.3,TRUE
2137,Warde Northen,24,M,2,Engineering,Black,3.3,TRUE
2138,Em Cudby,28,F,1,Business Development,Asian,1.3,FALSE
2139,Barbey Keitley,56,F,3,Product Management,Black,1.7,FALSE
2140,Jdavie Hewertson,36,M,2,Accounting,Other,0,TRUE
2141,Mack Piddock,41,M,5,Engineering,Latino,4,TRUE
2142,Alvira Elwel,28,F,1,Product Management,Asian,2.3,FALSE
2143,Brigg Sarvar,40,M,3,Research and Development,White,4,FALSE
2144,Gregorio Gladbach,29,M,3,Research and Development,Other,3.3,FALSE
2145,Horatius McCartan,21,M,3,Training,White,2.3,TRUE
2146,Simone Shakesby,59,F,2,Research and Development,Asian,2.3,TRUE
2147,Ailene Ladbrook,32,F,5,Support,Latino,3,FALSE
2148,Dee dee Kenington,53,F,2,Services,Asian,3.7,FALSE
2149,Leontyne de Vaen,53,F,5,Training,Other,1.7,FALSE
2150,Luciano Kirkup,37,M,5,Product Management,Other,4,TRUE
2151,Huntlee Giacomozzo,32,M,2,Human Resources,Latino,2.3,FALSE
2152,Kalinda Tregian,41,F,3,Legal,Latino,4,TRUE
2153,Marillin Diggens,53,F,4,Support,Black,2.7,TRUE
2154,Bax Hendrix,40,M,1,Product Management,Black,1.7,FALSE
2155,Mozelle Dancy,60,F,5,Engineering,Latino,3.3,FALSE
2156,Eldon Grassot,30,M,2,Engineering,Asian,3.7,TRUE
2157,Obadiah Gillion,58,M,3,Training,Asian,1.7,TRUE
2158,Obadiah Sparks,42,M,5,Support,White,2.7,FALSE
2159,Sheree Mayell,53,F,3,Research and Development,White,3.3,TRUE
2160,Lethia Tolumello,23,F,4,Research and Development,Asian,2,TRUE
2161,Daphne Crehan,32,F,3,Human Resources,White,0,TRUE
2162,Terence Hastings,52,M,4,Business Development,White,3,FALSE
2163,Jolie Happert,55,F,4,Training,Black,2,TRUE
2164,Oswald Loble,45,M,5,Business Development,White,2.7,FALSE
2165,Even Cotterill,34,M,3,Accounting,Other,2,TRUE
2166,Maia Itzchaki,52,F,1,Marketing,White,3,TRUE
2167,Gannie Upshall,48,M,5,Services,Other,3.3,FALSE
2168,Odie Gash,36,M,3,Business Development,Other,1,TRUE
2169,Clevie Secretan,30,M,5,Services,Other,0,TRUE
2170,Nobe Bielfelt,34,M,4,Business Development,Black,1.7,TRUE
2171,Maurizio Championnet,48,M,4,Sales,Other,1.7,TRUE
2172,Sayres McArt,43,M,3,Legal,Other,0,FALSE
2173,Viviyan Skeete,27,F,1,Product Management,Latino,2.7,TRUE
2174,Querida Janatka,29,F,4,Research and Development,Latino,4,TRUE
2175,Moyra Benting,40,F,4,Human Resources,Black,4,FALSE
2176,Damita Wanek,48,F,4,Sales,Latino,2.3,TRUE
2177,Thatcher Pergens,53,M,1,Training,Other,2.7,TRUE
2178,Susann Fursse,24,F,3,Legal,Other,2.7,FALSE
2179,Nigel Kybert,52,M,5,Engineering,Other,2.3,TRUE
2180,Samuele Fischer,29,M,5,Business Development,Asian,1,TRUE
2181,Koenraad Sprigings,29,M,2,Human Resources,Black,2.3,FALSE
2182,Aloysius Ivanuschka,47,M,3,Engineering,Black,2.3,TRUE
2183,Hamlen Vaskin,26,M,3,Sales,Other,0,TRUE
2184,Rahel Whistance,50,F,1,Product Management,Other,1.7,FALSE
2185,Sammy Wright,44,F,1,Sales,White,4,FALSE
2186,Ettie Meadley,27,F,1,Support,Asian,3.7,TRUE
2187,Munmro Zecchinii,32,M,3,Training,Latino,2.7,FALSE
2188,Arte Corbally,52,M,4,Accounting,Other,2.7,TRUE
2189,Godwin Taylor,40,M,3,Support,White,1,TRUE
2190,Erv Werndly,54,M,1,Marketing,Latino,2,FALSE
2191,Bary MacParlan,41,M,1,Marketing,Black,2.3,TRUE
2192,Keene Densham,48,M,3,Research and Development,Black,2,FALSE
2193,Federica Shoute,42,F,3,Sales,Latino,0.7,FALSE
2194,Bradly Middlewick,52,M,4,Business Development,Other,0.7,FALSE
2195,Kermy Duffan,59,M,4,Training,Black,0,TRUE
2196,Moises Ertelt,59,M,3,Accounting,Other,3,FALSE
2197,Bridgette MacCambridge,47,F,5,Training,Latino,0.7,FALSE
2198,Alyssa Elsmore,59,F,5,Product Management,White,1,TRUE
2199,Ali Ord,47,F,3,Training,Black,3.3,FALSE
2200,Wenonah Rodger,28,F,1,Engineering,Asian,3.3,FALSE
2201,Gayler Henderson,52,M,4,Business Development,Latino,1,FALSE
2202,Andie McGeachie,44,M,1,Research and Development,Latino,3,TRUE
2203,Keelia O'Dowd,30,F,3,Research and Development,Black,3.3,FALSE
2204,Katrine Garrettson,47,F,4,Research and Development,Latino,0.7,TRUE
2205,Llewellyn Pitway,44,M,1,Product Management,Other,4,TRUE
2206,Kristopher Edgeson,28,M,2,Product Management,Latino,0.7,FALSE
2207,Dalenna Shorter,54,F,5,Research and Development,Latino,3.3,FALSE
2208,Wilone Sessions,33,F,2,Product Management,Other,2.3,TRUE
2209,Krishna Lindemann,29,M,1,Sales,Latino,1.7,TRUE
2210,Fanchette Summers,42,F,4,Sales,White,0.7,FALSE
2211,Birgitta Shortland,44,F,5,Legal,Latino,1.7,FALSE
2212,Lester Wassung,27,M,1,Support,White,0.7,TRUE
2213,Melitta Vuittet,22,F,5,Marketing,Latino,2.3,TRUE
2214,Essa Surridge,21,F,1,Support,Asian,1,FALSE
2215,Des Canet,27,M,5,Human Resources,Latino,2.3,TRUE
2216,Rory Sibbs,51,M,3,Training,Black,1,FALSE
2217,Elnore Bremmell,27,F,1,Accounting,Black,2,TRUE
2218,Carolann Moseby,46,F,4,Services,Asian,1.7,FALSE
2219,Brigid Thornbarrow,59,F,1,Sales,Black,3.3,FALSE
2220,Christabel Mousby,26,F,4,Legal,Asian,3,FALSE
2221,Rene Gellier,37,M,2,Business Development,Black,4,TRUE
2222,Maire McNelly,22,F,1,Support,White,2.7,TRUE
2223,Brad Hughson,35,M,3,Marketing,Black,3.7,FALSE
2224,Thurston Fuke,58,M,4,Legal,Other,1.3,TRUE
2225,Barney Knight,31,M,4,Accounting,Other,0,TRUE
2226,Tris Ronnay,43,M,4,Legal,Asian,2.3,FALSE
2227,Garner Farnill,40,M,5,Sales,White,3.7,TRUE
2228,Liana Greenlies,38,F,4,Sales,Black,0.7,TRUE
2229,Lea Pawlik,40,F,1,Marketing,White,2.7,FALSE
2230,Richmound Sahlstrom,29,M,3,Support,Black,2.3,TRUE
2231,Broddy Haighton,45,M,1,Sales,Other,0,TRUE
2232,Kym Godly,48,F,3,Product Management,Other,0.7,TRUE
2233,Linette Castagneri,51,F,2,Engineering,Black,3.3,FALSE
2234,Erda Fishly,47,F,4,Accounting,Asian,0.7,FALSE
2235,Gabie Sporle,55,M,1,Product Management,White,0,FALSE
2236,Owen Henric,52,M,3,Legal,Black,1,FALSE
2237,Nina Griss,47,F,3,Business Development,Latino,2.3,FALSE
2238,Rozelle Knowlys,52,F,5,Human Resources,Latino,1,FALSE
2239,Edsel Dudley,43,M,1,Accounting,White,1,TRUE
2240,Inez Aird,47,F,2,Business Development,Asian,2.7,FALSE
2241,Nathanael Malby,25,M,2,Product Management,Asian,3.7,TRUE
2242,Fletcher Troup,56,M,3,Support,Other,2.3,FALSE
2243,Flem Halladey,31,M,2,Support,Black,4,FALSE
2244,Katey Moyce,27,F,1,Business Development,Other,4,TRUE
2245,Gaby Wallwood,60,F,1,Business Development,Black,3.3,TRUE
2246,Spenser Podmore,43,M,4,Support,Latino,1,TRUE
2247,Fergus Loynes,56,M,2,Legal,Other,0,FALSE
2248,Arch Beaushaw,22,M,4,Product Management,Other,3.7,TRUE
2249,Louisette Yellop,26,F,5,Business Development,Latino,2,FALSE
2250,Corny Vaughton,49,M,2,Services,Other,3.3,TRUE
2251,Riannon Windross,21,F,2,Marketing,Other,1.3,TRUE
2252,Cherye Bilborough,57,F,2,Human Resources,Black,1.7,FALSE
2253,Dewain McCory,54,M,2,Research and Development,Asian,1.7,FALSE
2254,Lonna Rowswell,43,F,3,Legal,Black,1.3,TRUE
2255,Frank Lambdon,52,F,3,Accounting,Black,3,TRUE
2256,Giustino Midghall,32,M,5,Training,Asian,2.3,FALSE
2257,Cathe Ludovici,29,F,2,Research and Development,Other,3.7,FALSE
2258,Nancy Denekamp,43,F,5,Marketing,White,1.3,TRUE
2259,Morry Grisbrook,27,M,5,Training,Other,0.7,FALSE
2260,Dwayne Shinn,22,M,3,Services,Asian,2.7,FALSE
2261,Marco McFee,29,M,3,Business Development,White,1.7,FALSE
2262,Lanie Gabby,26,F,1,Business Development,White,3,TRUE
2263,Gina Benkhe,45,F,1,Business Development,Latino,3,TRUE
2264,Hammad Philps,33,M,2,Human Resources,Asian,3.3,TRUE
2265,Amabelle Rofe,45,F,4,Product Management,White,4,TRUE
2266,Sonnie Szymonwicz,21,F,1,Legal,White,0.7,TRUE
2267,Sella Wilfling,23,F,5,Support,Latino,1.3,FALSE
2268,Rocky Heller,46,M,3,Training,Other,0.7,TRUE
2269,Nadya Shalders,29,F,1,Human Resources,Latino,4,TRUE
2270,Jacquenette Whitelaw,60,F,3,Research and Development,Asian,1,FALSE
2271,Arline Hussell,59,F,3,Product Management,Black,3,TRUE
2272,Maurise Fust,32,F,4,Engineering,White,0.7,TRUE
2273,Fraser Tuddenham,41,M,1,Services,White,3.7,TRUE
2274,Maxie Seamer,24,F,4,Engineering,Black,3.3,FALSE
2275,Grantley Fellow,36,M,3,Human Resources,Latino,1,FALSE
2276,Othilie Keefe,39,F,1,Sales,Asian,3,FALSE
2277,Herschel Keaveney,24,M,5,Marketing,Black,2,TRUE
2278,Tobi Omond,57,F,3,Support,Other,2.3,TRUE
2279,Brandyn Banbrook,54,M,2,Marketing,Latino,2.7,FALSE
2280,Janaya Costa,56,F,1,Services,Other,3.7,FALSE
2281,Margie Quinton,27,F,3,Support,White,2,TRUE
2282,Risa Wybourne,43,F,2,Support,Other,1,FALSE
2283,Town Zielinski,26,M,5,Accounting,Latino,2,FALSE
2284,Humfrid Ardron,29,M,4,Services,Latino,0,FALSE
2285,Morty Inold,59,M,2,Support,Latino,3.7,FALSE
2286,Carole Allwood,44,F,2,Accounting,White,3,FALSE
2287,Chuck Artz,58,M,5,Support,White,3.3,TRUE
2288,Kaylyn McIndoe,49,F,5,Research and Development,Black,0,TRUE
2289,Artair Henriquet,43,M,3,Sales,Black,2.7,FALSE
2290,Margi Whisson,32,F,1,Human Resources,Black,2.3,TRUE
2291,Carma Van Arsdalen,45,F,1,Business Development,Other,0.7,FALSE
2292,Giles Chestle,24,M,2,Support,Asian,1.3,FALSE
2293,Tammie Tunny,38,F,2,Marketing,Asian,0,FALSE
2294,Katherina Tudge,60,F,1,Research and Development,Black,4,TRUE
2295,Bertie Scading,46,M,1,Accounting,Asian,0.7,FALSE
2296,Matthew Collerd,32,M,2,Services,Black,3.7,TRUE
2297,Eleanor Diloway,22,F,1,Business Development,White,4,FALSE
2298,Reade Bresson,49,M,4,Services,Other,2.3,FALSE
2299,Emanuele Crampin,34,M,1,Accounting,Latino,3.7,FALSE
2300,Karney McMennum,37,M,2,Services,Other,2.3,TRUE
2301,Kettie Ales,49,F,1,Sales,Latino,1,FALSE
2302,Riordan Groundwator,23,M,2,Research and Development,White,2.3,TRUE
2303,Ambrosi Taylot,25,M,5,Human Resources,Black,0.7,FALSE
2304,Romain Brimm,26,M,1,Human Resources,Other,4,FALSE
2305,Lezlie Harrigan,23,F,4,Business Development,Black,1.7,FALSE
2306,Ferrell Caldecourt,51,M,4,Business Development,Asian,0.7,FALSE
2307,Alexandra Longshaw,41,F,1,Sales,Black,0.7,TRUE
2308,Nicolle Talman,46,F,5,Support,Black,1.7,TRUE
2309,Annabel Straun,55,F,5,Training,Other,2.7,FALSE
2310,Eddy Alessandretti,55,F,1,Sales,Black,3,FALSE
2311,Clim Letham,55,M,5,Support,White,4,TRUE
2312,Archy Solland,40,M,1,Sales,Asian,3.7,TRUE
2313,Thaine Capehorn,43,M,3,Human Resources,White,1.3,TRUE
2314,Kingsly Cheetam,29,M,5,Support,Latino,4,FALSE
2315,Carmina Sircomb,59,F,2,Research and Development,Other,1.7,TRUE
2316,Hy Spowart,52,M,1,Accounting,Other,3.3,TRUE
2317,Dore Stealey,47,M,1,Accounting,Latino,2.7,FALSE
2318,Shirleen Meineken,60,F,1,Services,Latino,2,FALSE
2319,Lorant Powell,40,M,4,Human Resources,Latino,1.7,FALSE
2320,Stan Portchmouth,26,M,5,Training,White,0.7,TRUE
2321,Aubrie Soppett,27,F,5,Legal,Asian,2,FALSE
2322,Gavra Ebsworth,23,F,2,Accounting,Black,0.7,FALSE
2323,Meggie Haycraft,60,F,1,Legal,Other,1.3,TRUE
2324,Gustaf Whittleton,23,M,5,Marketing,White,1,TRUE
2325,Herrick Rubke,24,M,3,Services,Other,4,FALSE
2326,Ky Battabee,35,M,1,Services,Other,3,FALSE
2327,Joann Arnaldi,28,F,3,Services,Asian,3.3,TRUE
2328,Hamnet Healing,57,M,3,Support,White,2.7,FALSE
